dividend_id,stock_symbol,announcement_date,ex_dividend_date,record_date,payment_date,dividend_per_share,source_of_dividend
1,ADVANC,19/08/2025,19/08/2025,20/08/2025,03/09/2025,6.89,กำไรสุทธิ
2,ADVANC,20/02/2025,20/02/2025,21/02/2025,10/04/2025,5.74,กำไรสุทธิ
3,ADVANC,19/08/2024,19/08/2024,20/08/2024,03/09/2024,4.87,กำไรสุทธิ
4,ADVANC,19/02/2024,19/02/2024,20/02/2024,17/04/2024,4.61,กำไรสุทธิ
5,ADVANC,18/08/2023,18/08/2023,21/08/2023,05/09/2023,4.00,กำไรสุทธิ
6,ADVANC,22/02/2023,22/02/2023,23/02/2023,19/04/2023,4.24,กำไรสุทธิ
7,ADVANC,19/08/2022,19/08/2022,22/08/2022,06/09/2022,3.45,กำไรสุทธิ
8,ADVANC,18/02/2022,18/02/2022,21/02/2022,19/04/2022,4.24,กำไรสุทธิ
9,ADVANC,16/08/2021,16/08/2021,17/08/2021,01/09/2021,3.45,กำไรสุทธิ
10,ADVANC,19/02/2021,19/02/2021,22/02/2021,20/04/2021,3.68,กำไรสุทธิ
11,ADVANC,19/08/2020,19/08/2020,20/08/2020,03/09/2020,3.24,กำไรสุทธิ
12,ADVANC,19/02/2020,19/02/2020,20/02/2020,22/04/2020,3.56,กำไรสุทธิ
13,ADVANC,16/08/2019,16/08/2019,19/08/2019,03/09/2019,3.78,กำไรสุทธิ
14,ADVANC,20/02/2019,20/02/2019,21/02/2019,18/04/2019,3.30,กำไรสุทธิ
15,ADVANC,15/08/2018,15/08/2018,16/08/2018,29/08/2018,3.78,กำไรสุทธิ
16,ADVANC,05/04/2018,05/04/2018,06/04/2018,26/04/2018,3.57,กำไรสุทธิ
17,ADVANC,07/08/2017,07/08/2017,08/08/2017,25/08/2017,3.51,กำไรสุทธิ
18,ADVANC,05/04/2017,05/04/2017,06/04/2017,26/04/2017,4.29,กำไรสุทธิ
19,ADVANC,15/08/2016,15/08/2016,16/08/2016,01/09/2016,5.79,กำไรสุทธิ
20,ADVANC,31/03/2016,31/03/2016,01/04/2016,22/04/2016,6.49,กำไรสุทธิ
21,ADVANC,11/08/2015,11/08/2015,12/08/2015,01/09/2015,6.50,กำไรสุทธิ
22,ADVANC,26/03/2015,26/03/2015,27/03/2015,22/04/2015,5.96,กำไรสุทธิ
23,ADVANC,13/08/2014,13/08/2014,14/08/2014,02/09/2014,6.04,กำไรสุทธิ
24,ADVANC,28/03/2014,28/03/2014,31/03/2014,22/04/2014,5.75,กำไรสุทธิ
25,ADVANC,16/08/2013,16/08/2013,19/08/2013,04/09/2013,6.40,กำไรสุทธิ
