stock_symbol,name,sector,corporate_tax_rate,boi_support
ADVANC,"บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน)",ICT,20,FALSE
AOT,"บริษัท ท่าอากาศยานไทย จำกัด (มหาชน)",TRANS,20,FALSE
AWC,"บริษัท แอสเสท เวิรด์ คอร์ป จำกัด (มหาชน)",PROP,20,FALSE
BANPU,"บริษัท บ้านปู จำกัด (มหาชน)",ENERG,20,FALSE
BBL,ธนาคารกรุงเทพ จำกัด (มหาชน),BANK,20,FALSE
BCP,"บริษัท บางจาก คอร์ปอเรชั่น จำกัด (มหาชน)",ENERG,20,FALSE
BDMS,"บริษัท กรุงเทพดุสิตเวชการ จำกัด(มหาชน)",HELTH,20,FALSE
BEM,"บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน)",TRANS,20,FALSE
BH,"บริษัท โรงพยาบาลบำรุงราษฎร์ จำกัด (มหาชน)",HELTH,20,FALSE
BJC,บริษัท เบอร์ลี่ ยุคเกอร์ จำกัด (มหาชน),COMM,20,FALSE
BTS,"บริษัท บีทีเอส กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน)",TRANS,20,FALSE
CBG,"บริษัท คาราบาวกรุ๊ป จำกัด (มหาชน)",FOOD,20,FALSE
CCET,"บริษัท แคล-คอมพ์ อีเล็คโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน)",ETRON,20,TRUE
COM7,"บริษัท คอมเซเว่น จำกัด (มหาชน)",COMM,20,FALSE
CPALL,"บริษัท ซีพี ออลล์ จำกัด (มหาชน)",COMM,20,FALSE
CPF,"บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน)",FOOD,20,FALSE
CPN,"บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน)",PROP,20,FALSE
CRC,"บริษัท เซ็นทรัล รีเทล คอร์ปอเรชั่น จำกัด (มหาชน)",COMM,20,FALSE
DELTA,"บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน)",ETRON,20,TRUE
EGCO,"บริษัท ผลิตไฟฟ้า จำกัด (มหาชน)",ENERG,20,FALSE
GPSC,"บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน)",ENERG,20,FALSE
GULF,"บริษัท กัลฟ์ ดีเวลลอปเมนท์ จำกัด (มหาชน)",ENERG,20,FALSE
HMPRO,"บริษัท โฮม โปรดักส์ เซ็นเตอร์ จำกัด (มหาชน)",COMM,20,FALSE
IVL,"บริษัท อินโดรามา เวนเจอร์ส จำกัด (มหาชน)",PETRO,20,FALSE
KBANK,"ธนาคารกสิกรไทย จำกัด (มหาชน)",BANK,20,FALSE
KKP,"ธนาคารเกียรตินาคินภัทร จำกัด (มหาชน)",BANK,20,FALSE
KTB,"ธนาคารกรุงไทย จำกัด (มหาชน)",BANK,20,FALSE
KTC,"บริษัท บัตรกรุงไทย จำกัด (มหาชน)",FIN,20,FALSE
LH,"บริษัทแลนด์แอนด์เฮ้าส์ จำกัด (มหาชน)",PROP,20,FALSE
MINT,"บริษัท ไมเนอร์ อินเตอร์เนชั่นแนล จำกัด (มหาชน)",TOURISM,20,FALSE
MTC,"บริษัท เมืองไทย แคปปิตอล จำกัด (มหาชน)",FIN,20,FALSE
OR,"บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน)",ENERG,20,FALSE
OSP,"บริษัท โอสถสภา จำกัด (มหาชน)",FOOD,20,FALSE
PTT,"บริษัท ปตท. จำกัด (มหาชน)",ENERG,20,FALSE
PTTEP,"บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน)",ENERG,20,FALSE
PTTGC,"บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน)",PETRO,20,FALSE
RATCH,"บริษัท ราช กรุ๊ป จำกัด (มหาชน)",ENERG,20,FALSE
SCB,"บริษัท เอสซีบี เอกซ์ จำกัด (มหาชน)",BANK,20,FALSE
SCC,"บริษัท ปูนซิเมนต์ไทย จำกัด(มหาชน)",CONMAT,20,FALSE
SCGP,"บริษัท เอสซีจี แพคเกจจิ้ง จำกัด (มหาชน)",PKG,20,FALSE
TCAP,"บริษัท ทุนธนชาต จำกัด (มหาชน)",BANK,20,FALSE
TIDLOR,"บริษัท ติดล้อ โฮลดิ้งส์ จำกัด (มหาชน)",FIN,20,FALSE
TISCO,"บริษัท ทิสโก้ไฟแนนเชียลกรุ๊ป จำกัด (มหาชน)",BANK,20,FALSE
TLI,"บริษัท ไทยประกันชีวิต จำกัด (มหาชน)",INSUR,20,FALSE
TOP,"บริษัท ไทยออยล์ จำกัด (มหาชน)",ENERG,20,FALSE
TRUE,"บริษัท ทรู คอร์ปอเรชั่น จำกัด (มหาชน)",ICT,20,FALSE
TTB,"ธนาคารทหารไทยธนชาต จำกัด (มหาชน)",BANK,20,FALSE
TU,"บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน)",FOOD,20,FALSE
VGI,"บริษัท วีจีไอ จำกัด (มหาชน)",MEDIA,20,FALSE
WHA,"บริษัท ดับบลิวเอชเอ คอร์ปอเรชั่น จำกัด (มหาชน)",PROP,20,FALSE
